"title","content","date","variant","images","verified","author","rating","product","url"
"does ring want more money? - older devices malfunctioning so you can upgrade?","first i purchased the ring doorbell 2 like 4 months ago. it worked fine at first then it started having problems wouldn't capture motions quickly enuff. it would skip some motions. the image would get blurry. i contacted help/support and i really didn't like the process i had to go through to get a new device. which might have been refurbished at best. so i decided to upgrade to 3plus. now i cant use the subscription i paid for with doorbell 2. i need a new subscription and i lost my old recordings. i emailed and still haven't gotten a response from the company. what i did get is emails about this review. flimsy cover didn't like how it doesn't fit properly feels like i might break it someday when changing batteries. they are lying about 1080p - the image quality is like 240p. they say its 5ghz capable? its mostly connected to 2.4ghz at the router is like 7 feet away. pre roll not so great - doesn't work at night -low quality image - i guess its okay in the daytime, it does the job now and i can see whats going on. at night when my security lights go on the night vision deactivates and visibility is worse than ring doorbell 2. kinda disappointed i had to shell out this much money in the last few months for the service. 2 devices and 2 subscriptions 4 batteries. they keep emailing me to remove this review. im not going to remove it because its been a few weeks already and they haven’t responded to my initial email about paying for a new subscription. also the new app update sucks - they took away landscape mode and now it only works in portrait mode. i might return this before my return window closes and try the nest doorbell. update 05/15/2020 - they removed the 3 minute snapshot feature for battery owners. what are u guys nuts? running the company to the ground? now you must buy a solar panel charger or hardwire for 3 min snapshot feature. update 9-02-20 ring app has more bugs and problems then before. i have no idea why they tinker with it to be worse. update 11-07-22 they censor and delete comments of  the neighbors and give you the illusion that your voice counts; also I suspect they are mining your data and selling the data also....prob bots... Not cool yo!","18 Apr 2020","Style: Ring Video Doorbell 3 Plus Configuration: Doorbell only","","Yes","AMZN CUSTOMER","1.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"Great features, but disappointed.","Upgraded from Doorbell 2. The pre-roll was a great feature and worked pretty well. However, I had to return it and put the Doorbell 2 back because the 3 Plus kept dropping WiFi randomly (hardwired and mesh WiFi router with in 5ft from the doorbell, tried both 2.4Ghz and 5Ghz). Live view would rarely work because of it. I could only see the camera when a motion was detected or someone pressed the doorbell. My Doorbell 2 never had this problem. I think the doorbell would just put itself in sleep mode and disconnect from WiFi. But with “Live View” on, it should never disconnect from WiFi. I would love to keep the 3 Plus, but until they fix this issue. I’m gonna have to return it.","17 Apr 2020","Style: Ring Video Doorbell 3 Plus Configuration: Doorbell only","","Yes","Jill T.","1.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"Fail","This is my first Ring product. I thought I was moving up from some other cameras I have around the house.  Not so sure about this. I'm very familiar with setting up security systems and wifi enabled devices.  I've had the motion range set to only my porch and it went off all night being set to medium sensitivity. I adjusted the camera to angle down more this morning and bumped the sensitivity up to Max since it's only facing the immediate area outside my door with easily 20ft with no trees,  bushes or movement beyond the motion zone.  So being happy that I think I solved the issue,  I'm currently upstairs working and my dog starts going nuts. I look out and the mail man is going back to his truck to get my second load of Amazon packages. He comes back again to my front door directly in front of my Ring cam. My $29 Wyze cam picked it up and went off. My generic $69 Chinese camera picked it up from the garage angle. My $229 Ring cam mounted directly in front of a mailman at my door twice failed.  No notification whatsoever. Everything is set correctly and if this happens one more time it's going back. UPDATE:  The next morning..All settings such as motion areas and sensitivity have somehow changed back to what they were on their own.  I changed my password just incase this thing is hacked. My wifi strength is good and I doubled checked ALL my settings early this morning and as of right now I'm sitting having breakfast and my phone buzzes from my other brand camera so I look out my window and see the mail truck ONCE AGAIN leaving my house and sure enough there's a package sitting right below this Ring Doorbell. No notification at all from Ring. So at this point my $29 camera is 100% more reliable than a $229 Ring camera. Right before I wrote this I looked at Live View and it keeps saying ""trying to reconnect"". Pressed it 15 times.  Nothing. Going to be calling them today.  If there's no upgrade bug fix in the VERY near future Ring Doorbell 3 Plus is getting replaced with another brand. UPDATE 2: Just hung up with support and they tell me it's wifi issues. "" I should buy a Chime Pro"" or contact my internet provider. Well.. I have 3 other cameras way further than this Ring Doorbell and come to think of it this is the closest one to my router. I have excellent wifi throughout the property. After reading other reviews that have had no success with purchasing the Chime Pro to correct ""wifi issues"" I think I've made a decision. So dissapointed.","30 Apr 2020","Style: Ring Video Doorbell 3 Plus Configuration: Doorbell only","","Yes","JazzyNYC","1.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"So much better than the original.","Cheaped out the first time and got the original. We had it for about a year and it worked well, but the quality was garbage. So I got this one (ring doorbell 3) and the quality is so much better. I would recommend not getting the original and buying this one.","29 Jun 2020","Style: Ring Video Doorbell 3 Configuration: Doorbell only","https://images-na.ssl-images-amazon.com/images/I/71I9Gw7ZEEL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71L49EIHXgL._SY88.jpg","Yes","Emily Owen","5.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"Great potential — but Launched with Bugs","Was super excited to Finally get this doorbell — been waiting almost 2 months for the release — I have the Ring Security System and this doorbell really completes it — especially pairing with my Schlage Lock — I can now unlock (Or lock) my door directly from the Ring app when someone is at the door. So after all that waiting, I was super disappointed that they shipped me a defective unit. ;( the battery was on pace to die after 6-7 days. *I’ll describe it more fully below* Ring customer support was great and they are shipping me a new one through Amazon. Will update my review after I test that one. ****Review Update 4/25, right before the replacement ring arrived they updated the firmware and magically my doorbell started to charge and finally reached 100%, as it should have). I’ve noticed it drain down to 95% a few times over the last month, but clearly this was an early firmware issue that they resolved. Future orders should be fine ****** In terms of quality picture — it’s fantastic. Ease of installation — awesome. Performance — works great, detected all relevant motion and has nice features to reduce false positives and non human motion. Integrations — love how it connects into my smart home tech (I.e my Schlage lock) AND the Amazon Integration is great with my Echo Show — the alert comes to my kitchen device and the live video pops up on the screen if the doorbell is pressed. The only integration that sucks is with my Samsung Fridge — nothing pops up there — but truthfully that is Samsung’s fault — they have gone downhill from their vision and their marketing no longer matches what their products actually do. Whoever makes end user software decisions is clueless and un-customer centric — probably a lawyer. The only reason I am rating this 3 star — is they shipped me a defective unit. Serious battery drain. Ring It’s supposed to get ~6 months of use before the battery needs recharged, BUT I connected mine to a strong power source and so it should not only (not drain) but simply sit there, trickle charging, and acting as a backup. Instead my battery went down like 15% in one day. That means it only would have lasted like 7 days. Which is ridiculous. Especially considering I connected it to a primary Power Source — it should never die. I talked to Ring Support — who was great — and they said my doorbell was constantly restarting itself and draining the battery. So they told me to ask amazon to replace it. I’m keeping it at 3 stars until I receive and can test the replacement. But man, what a disappointment. Be careful, if mine is any indication they launched this product with bugs. Maybe it’s hardware, maybe it’s firmware. While I wait for the new device to arrive I noticed ring pushed a firmware update last night and my battery drain has slowed substantially.  So that is a positive sign that they are fixing the issue.","11 Apr 2020","Style: Ring Video Doorbell 3 Plus Configuration: Doorbell only","","Yes","JWK","4.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"Installation is easier with a drilling template.","I found the Ring Doorbell 3 Plus really easy to install -- once I realized I needed a drilling template.  I'm surprised they don't include one in the box. I simply used a 3x5 inch index card and a 1/8"" drill bit to make a template from the doorbell's mounting holes.  I then transferred the relative locations of those holes to my brick wall using a sharpie.  The index card was necessary because I couldn't get a pen, pencil, or marker to fit through the mounting holes in the doorbell itself! Software setup was easy.  I had to repeat the Wi-Fi setup a couple of times to get it to work, but I didn't do anything differently on the later attempts. So far, I'm thrilled with this device.","13 Apr 2020","Style: Ring Video Doorbell 3 Plus Configuration: Doorbell only","","Yes","Jeffrey Wheeler","5.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"Satisfied customer","I moved my 1st generation Ring Doorbell to the back door and installed the Ring Doorbell 3 at the front door.  The field of view, responsiveness, sound quality and quality of the picture are much, much better on the Ring Doorbell 3 than the first generation unit.  It also limits the motion response to just the area I selected unlike the old unit that over responded and picked up the movement of cars and trucks more than 30 feet away even though I had adjusted it to be less responsive.  I'm very satisfied with the new unit.","17 Apr 2020","Style: Ring Video Doorbell 3 Configuration: Doorbell only","","Yes","David Chenoweth","5.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"Price difference from Ring.com","I installed the device yesterday. It works GREAT and it is simple to set up. Soon we'll look into getting more devices for better home security.","10 Apr 2020","Style: Ring Video Doorbell 3 Configuration: Doorbell only","","Yes","Kevin","5.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"Great device","Don’t listen to the negative reviews. It was easy to connect to my SmartThings and setting up wifi is similar to google. When you connect to the network you have to disconnect your existing network and connect to the device with your phone or tablet. I was able to connect it through my existing hardwire doorbell and my existing doorbell ring worked as well. You just have to go through the ring app and turn that feature on. The video is clean, vivid and not choppy. I connected to my 5ghz network and the signal works just fine. I tested it multiple times with no issues. When someone rings the device my doorbell rings and my Amazon Alexa announces someone is at the front door. A banner popups up and on it and live view activates. The ring service is $30 a year. I also tried it through my fire tv and when asked show me the front door my TV screen went straight to live view. No app needed. Just remember to add the ring skill on your Alexa software and do a search for the device to add it. Once that’s done your set. I barely looked at the directions to set all this up.","31 Jul 2020","Style: Ring Video Doorbell 3 Configuration: Doorbell only","https://images-na.ssl-images-amazon.com/images/I/71DLAGuBZwL._SY88.jpg","Yes","John","5.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"Disappointed.","Not impressed.  Been messing with settings for 4 days and can’t stop it from notifying me every time a car goes by and missing half the people that walk up on my porch.  Turned off zone that includes street but still get notifications.  Bought to replace cheaper doorbell because it had same problem but no settings to change.  Thought this would be better. But it is not.","13 Jun 2020","Style: Ring Video Doorbell 3 Configuration: Doorbell only","https://images-na.ssl-images-amazon.com/images/I/61NaFZ2HPoL._SY88.jpg","Yes","Scott A.","2.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"Update: Over all happy with purchase","Updated: Sept 11, 2020. Changing to 5-star rating for two reasons, the outstanding customer service, and receiving a replacement that is working 100% the way it should. There were many emails back and forth to try and get my ring 3 working. After trying all possible remedies customer service sent me a new ring 3. I installed it 2 days ago and it is up and running without any of the problems I had in the past. So if you do have a problem rest easy knowing the Ring backs up their product and will make it right. Here's the pros/cons for me. Great picture quality and night vision are the pros, motion detection is really the only con I have. Even though I have set up the detection for the 5-15 feet range and have blocked 3 of the 4 areas you are allowed to it is still picking up traffic going by on the street which is about 40 feet from the door. Short of putting up a wall on my sidewalk (which I am sure the neighbors would love) I do not see any way of fixing this. I notice that many other reviewers have the same problems with setting distance and motion detection. Not sure if Ring will/can do a software fix for this but they should. So I guess that annoying detection is better than none at all.","03 Aug 2020","Style: Ring Video Doorbell 3 Configuration: Doorbell only","https://images-na.ssl-images-amazon.com/images/I/61fyiAsl4gL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/8113koBT9GL._SY88.jpg","Yes","Don","5.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"Don’t buy if you don’t want a monthly bill","Why do I have to pay a monthly bill so this can work not good I want to return this but I threw away the box","17 Jun 2020","Style: Ring Video Doorbell 3 Configuration: Doorbell only","https://images-na.ssl-images-amazon.com/images/I/71j4M6kZ55L._SY88.jpg","Yes","Victor","1.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"My door would be kicked in before getting a notification","I was expecting real time notifications and expected to be able to use Echo Show to see who is at the front door. That doesn't happen 90% of the time. Forget about notifications thru the ring app on my phone. Sometimes that happens in a minute or 2, sometimes not at all. Yeah, I see what the answer will be if I call support...""WiFi connection"". Well the router is 6 feet away, with only the wall that the ring is installed on between the 2. My Echo Tap can connect thru the house 50 feet into the back yard but this thing can't from 6 feet away thru a 3"" wall. I mistakenly thought this would give me some level of security.","05 May 2020","Style: Ring Video Doorbell 3 Configuration: Doorbell only","","Yes","E E","1.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"The cover has a cheap feel to it","I like the video feed. It's pretty clear. I am not impressed with how cheap the case feels. They did a great job providing you with everything you need for install. The give you a drill bit, mini level, and extra wiring.","10 Apr 2020","Style: Ring Video Doorbell 3 Configuration: Doorbell only","","Yes","She reviews","4.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"Made in China Junk","Only thing worse than the device is Ring support (for those who can't read the instructions they will read it to you).  $229.00 and they tell me my device must be defective.  I guess the quality control in China is not up to par.  The that idiot asked me if I wanted them to exchange it for me.  I told them, ""So you can't even tell me why it won't connect to my wifi or what the problem is but yet your telling its defective?  And I'm supposed to trust RING to exchange it?""  Not thanks, I returned to Amazon and they refunded.  Even my $50.00 printer can connect to my wifi, this stupid thing wouldn't connect while holding it 12 inches from the router.  Do not recommend.","07 May 2020","Style: Ring Video Doorbell 3 Plus Configuration: Doorbell only","","Yes","Flatwoods","1.0","Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation","https://www.amazon.com/Ring-Video-Doorbell-3-Plus/product-reviews/B07WLP395R/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
